Rk,Player_ID,YR,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSCR
444,waitedi01,2015,Dion Waiters,SG,24,OKC,78,15,27.6,3.6,9.1,0.399,1.1,3.1,0.358,2.5,6.0,0.421,0.46,1.4,2.0,0.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8,4.62
445,walkeke02,2015,Kemba Walker,PG,25,CHO,81,81,35.6,7.0,16.4,0.427,2.2,6.0,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,11.16
446,walljo01,2015,John Wall,PG,25,WAS,77,77,36.2,7.4,17.5,0.424,1.5,4.3,0.351,5.9,13.3,0.448,0.467,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,12.2
447,warretj01,2015,T.J. Warren,SF,22,PHO,47,4,22.8,4.7,9.4,0.501,0.6,1.5,0.4,4.1,7.9,0.52,0.533,1.0,1.4,0.703,1.2,1.9,3.1,0.9,0.8,0.3,0.7,2.0,11.0,7.12
451,westda01,2015,David West,PF,35,SAS,78,19,18.0,3.1,5.7,0.545,0.0,0.1,0.429,3.1,5.7,0.546,0.548,0.8,1.0,0.788,0.9,3.0,4.0,1.8,0.6,0.7,0.9,1.8,7.1,5.83
452,westbru01,2015,Russell Westbrook,PG,27,OKC,80,80,34.4,8.2,18.1,0.454,1.3,4.3,0.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,14.36
453,whiteha01,2015,Hassan Whiteside,C,26,MIA,73,43,29.1,5.7,9.3,0.606,0.0,0.0,0.0,5.7,9.3,0.606,0.606,2.9,4.5,0.65,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2,11.41
455,wiggian01,2015,Andrew Wiggins,SF,20,MIN,81,81,35.1,7.3,16.0,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7,8.83
458,willide01,2015,Deron Williams,PG,31,DAL,65,63,32.4,4.9,11.9,0.414,1.5,4.3,0.344,3.4,7.6,0.454,0.477,2.8,3.2,0.869,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1,8.4
459,willide02,2015,Derrick Williams,SF,24,NYK,80,9,17.9,3.2,7.1,0.45,0.6,1.9,0.293,2.6,5.2,0.506,0.488,2.4,3.2,0.758,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3,4.05
461,willilo02,2015,Lou Williams,SG,29,LAL,67,35,28.5,4.2,10.3,0.408,1.6,4.8,0.344,2.6,5.6,0.464,0.488,5.3,6.3,0.83,0.5,2.1,2.5,2.5,0.9,0.3,1.6,1.6,15.3,6.48
462,willima02,2015,Marvin Williams,PF,29,CHO,81,81,28.9,4.2,9.2,0.452,1.9,4.7,0.402,2.3,4.6,0.504,0.554,1.5,1.8,0.833,1.6,4.9,6.4,1.4,0.7,1.0,0.8,1.6,11.7,8.26
464,winslju01,2015,Justise Winslow,SF,19,MIA,78,8,28.6,2.5,5.9,0.422,0.4,1.5,0.276,2.1,4.4,0.471,0.457,1.0,1.5,0.684,1.0,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4,3.99
465,witheje01,2015,Jeff Withey,C,25,UTA,51,10,12.9,1.7,3.2,0.537,0.0,0.0,0.0,1.7,3.1,0.544,0.537,0.8,1.2,0.729,1.1,2.3,3.4,0.4,0.4,1.0,0.5,1.5,4.3,3.79
473,youngni01,2015,Nick Young,SG,30,LAL,54,2,19.1,2.3,6.9,0.339,1.4,4.4,0.325,0.9,2.5,0.363,0.442,1.2,1.4,0.829,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3,2.81
474,youngth01,2015,Thaddeus Young,PF,27,BRK,73,73,33.0,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9.0,1.9,1.5,0.5,1.9,2.5,15.1,9.6
475,zelleco01,2015,Cody Zeller,C,23,CHO,73,60,24.3,3.2,6.0,0.529,0.0,0.1,0.1,3.2,5.8,0.539,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1.0,0.8,0.9,0.9,2.8,8.7,6.42
476,zellety01,2015,Tyler Zeller,C,26,BOS,60,3,11.8,2.3,4.8,0.476,0.0,0.0,0.0,2.3,4.8,0.476,0.476,1.5,1.8,0.815,1.0,1.9,3.0,0.5,0.2,0.4,0.8,1.6,6.1,3.51
