,Player
52,D?vis Bert?ns
59,Bogdan Bogdanovi?
60,Bojan Bogdanovi?
177,Luka Don?i?
182,Goran Dragi?
306,Ersan ?lyasova
335,Nikola Joki?
391,Boban Marjanovi?
503,Kristaps Porzi??is
537,Dario Šari?
538,Tomáš Satoranský
592,Jonas Valan?i?nas
602,Nikola Vu?evi?
