,Player
27,Ömer A??k
56,Bojan Bogdanovi?
131,Goran Dragi?
258,Ersan ?lyasova
288,Nikola Joki?
339,Boban Marjanovi?
376,Nikola Miroti?
433,Kristaps Porzi??is
507,Mirza Teletovi?
530,Jonas Valan?i?nas
538,Nikola Vu?evi?
539,Sasha Vuja?i?
