,Player
24,Pero Anti?
27,Ömer A??k
63,Bojan Bogdanovi?
165,Goran Dragi?
284,Ersan ?lyasova
400,Nikola Miroti?
409,Donatas Motiej?nas
434,Jusuf Nurki?
511,Damjan Rudež
591,Hedo Türko?lu
595,Jonas Valan?i?nas
600,Nikola Vu?evi?
