,Player
49,D?vis Bert?ns
61,Bogdan Bogdanovi?
62,Bojan Bogdanovi?
164,Goran Dragi?
288,Ersan ?lyasova
325,Nikola Joki?
462,Jusuf Nurki?
507,Kristaps Porzi??is
543,Dario Šari?
544,Tomáš Satoranský
581,Miloš Teodosi?
598,Jonas Valan?i?nas
608,Nikola Vu?evi?
